Station Name,Address,Plus Code,Latitude,Longitude,Type,Sub type,Number of charger,Location description,Created,Station Chinese Name,Tested by Noah customers,Remarks
Lun Fung Court,"363 Des Voeux Road West, Sai Ying Pun",7PJP74PP+QF,22.286937499999993,114.13618750000006,7,Floating,,,,龍豐閣,,
Maritime Square 1,"33 Tsing King Rd, Tsing Yi",7PJP9454+FH,22.358687499999988,114.10643750000003,7,Floating,,,v,青衣城一號停車場,,
Mei Foo Sun Chuen-S7,"Mei Foo Sun Chuen, Lai Chi Kok",7PJP84PR+8F,22.33581249999999,114.14118750000006,7,Floating,,,,美孚新邨,,
Metroplaza,"223 Hing Fong Road, Kwai Fong",7PJP944G+XF,22.35743749999999,114.12618750000001,7,Floating,,,v,新都會廣場,,
Metropolis Plaza,"8 Lung Wan Street, Sheung Shui",7PJPG42H+RP,22.502062499999994,114.12931250000003,7,Floating,,,,上水新都廣場,,
Mikiki,"638 Prince Edward Road East, San Po Kong",7PJP85MW+FV,22.333687499999996,114.19718749999998,7,Floating,,,,Mikiki,,
Millennium City 1,"388 Kwun Tong Road, Kwun Tong",7PJP867C+CJ,22.313562500000003,114.2215625,7,Floating,,,,創紀之城一期,,
Millennium City 2 & 3,"370-378 Kwun Tong Road, Kwun Tong",7PJP8679+VR,22.314687500000005,114.2195625,7,Floating,,,,創紀之城二&三期,,
Millennium City 6,"392 Kwun Tong Road, Kwun Tong",7PJP867C+9R,22.313437499999992,114.22206249999999,7,Floating,,,,創紀之城六期,,
Moko,"193 Prince Edward Road West, Mong Kok",7PJP85FC+7W,22.32318749999999,114.17231249999998,7,Floating,,,,新世紀廣場,,
Nan Fung Commercial Centre,"18 Lam Lok Street, Kowloon Bay",7PJP86F5+52,22.322937499999995,114.2075625,7,Floating,,,,南豐中心,,
New Commerce Centre,"19 On Sum Street, Shek Mun, Shatin",7PJP96Q4+QR,22.389437499999985,114.2070625,7,Floating,,,,匯貿中心,,
New Mandarin Plaza,"14 Science Museum Road, Tsim Sha Tsui East",7PJP852H+6F,22.300562499999998,114.17868749999997,7,Floating,,,,新文華中心,,
New Tech Plaza,"34 Tai Yau Street, San Po Kong",7PJP85PW+MV,22.336687499999996,114.19718749999998,7,Floating,,,,新科技廣場,,
New Town Mansion,"2 Tuen Lee Street, Tuen Mun",7PJM9XRH+FF,22.3911875,113.97868749999998,7,Floating,,,,新都大廈,,
New Town Plaza Phase 1,"Shatin Centre Street, Sha Tin",7PJP95JQ+PF,22.381812499999995,114.18868750000001,7,Floating,,,,新城市廣場一期,,
New Trade Plaza,"On Ping Street, Shek Mun, Shatin",7PJP96R4+7X,22.3906875,114.20743749999997,7,Floating,,,,新貿中心,,
Nina Mall,"Tsuen Wan, Yeung Uk Rd, No.8",7PJP9497+F5,22.368687499999993,114.11293750000004,7,Floating,,,v,如心廣場,,
Number 4 Multi-Storey Carpark,"11 Cheong Tat Road, Chek Lap Kok",7PJM8W9M+5H,22.3179375,113.93393750000001,7,Floating,,,,機場4號停車場,,
Olympian City 2,"18 Hoi Ting Rd, Tai Kok Tsui",7PJP8586+MJ,22.3166875,114.1615625,7,Floating,,,v,奧海城二期,,
Onbury Car Park,"3 Peace Avenue, Mongkok",7PJP859F+6M,22.318062499999996,114.17418749999996,7,Floating,,,,安百利停車場,,
One Sky Parc,"53 Hung To Road, Kwun Tong",7PJP866C+CR,22.311062500000006,114.22206249999999,7,Floating,,,,One Sky Parc,,
Pacific Place,"88 Queensway, Admiralty, Hong Kong",7PJP75G7+VX,22.27718750000001,114.16493749999995,7,Floating,,,v,太古廣場,,
Park Central,"9 Tong Tak Street, Tseung Kwan O",7PJP8744+XW,22.307437499999992,114.25731250000001,7,Floating,,,,將軍澳中心,,
Peninsula Square,"18 Sung On Street, Hunghom",7PJP856Q+HX,22.311437499999997,114.18993749999998,7,Floating,,,,半島廣場,,
Peninsula Tower,"538 Castle Peak Road, Cheung Sha Wan",7PJP85Q2+Q7,22.33943749999999,114.1506875,7,Floating,,,,半島大廈,,
Plaza 88,"88 Yeung Uk Rd, Tsuen Wan",7PJP9488+W9,22.367312499999997,114.11593750000003,7,Floating,,,v,楊屋道88號,,
Po Sing Centre,"1-25 Ta Chuen Ping Street, Kwai Chung",7PJP948P+J9,22.366562499999986,114.13593750000007,7,Floating,,,,寶星中心,,
Po Tai Street Car Park,"Po Tai Street, Ma On Shan",7PJPC67F+G9,22.413812500000006,114.22343749999999,7,Floating,,,,保泰街停車場,,
Popcorn 1,"9 Tong Yin St, Tseung Kwan O",7PJP8755+4R,22.307812499999983,114.25956250000002,7,Floating,,,v,Popcorn 1,,
PopWalk,"12 Tong Chun Street, Tseung Kwan O",7PJP8746+F9,22.306187499999993,114.26093750000001,7,Floating,,,,PopWalk,,
Port 33,"33 Tseuk Luk Street, San Po Kong, San Po Kong",7PJP85PX+53,22.335437499999998,114.19768750000003,7,Floating,,,,爵祿街33號,,
Sai Kung Garden,"16 Chan Man Street, Sai Kung",7PJP97JC+VH,22.3821875,114.27143749999999,7,Floating,,,,西貢花園,,
Sai Kung Town Centre,"22-40 Fuk Man Road & Chan Man Street, Sai Kung",7PJP97MC+3W,22.38268749999999,114.2723125,7,Floating,,,,西貢市中心停車場,,
Shanghai Industrial Investment Building,"48-66 Hennessy Road, Wan Chai",7PJP75GC+W8,22.277312500000008,114.17081249999995,7,Floating,,,,上海實業大廈,,
Shatin Park Stage 1,"Kong Pui Street, Shatin",7PJP95HW+RX,22.37956249999999,114.19743749999998,7,Floating,,,,沙田花園城一期,,
Shell Airport Cargo Terminal,"Shell Airport Cargo Terminal J/O Chek Lap Kok S Rd, AND SCENIC",7PJM7WRJ+PC,22.291812500000006,113.93106249999994,7,Floating,,,,Shell機場(貨運中心)油電站,,
Siu On Centre,"188 Lockhart Road, Wan Chai",7PJP75HF+6M,22.278062500000004,114.17418749999996,7,Floating,,,,兆安中心,,
Skyline Plaza,"88 Tai Ho Road, Tsuen Wan",7PJP9496+WQ,22.369812499999995,114.11193750000001,7,Floating,,,,灣景廣場,,
SOHO West,"10 Lai Ying Street, Cheung Sha Wan",7PJP84GX+PP,22.326812500000003,114.14931250000006,7,Floating,,,,SOHO West,,
Sun Hung Kai Centre,"30 Harbour Rd, Wan Chai",7PJP75JG+4Q,22.280312499999994,114.17693749999995,7,Floating,,,,新鴻基中心,,
Sun Kwai Hing Plaza,"166-174 Hing Fong Road, Kwai Chung",7PJP947J+6H,22.363062499999998,114.1314375,7,Floating,,,,新葵興廣場,,
Sunway Gardens,"989 King's Road, Quarry Bay",7PJP76P6+9H,22.2861037,114.2123131,7,Floating,,,,新威園,,
Tai Po Mega Mall,"8 & 10 On Pong Road, Tai Po",7PJPF52C+M3,22.451687500000006,114.1701875,7,Floating,,,v,大埔超級城,,
Tak Bo Garden,"3 Ngau Tau Kok Road, Ngau Tau Kok",7PJP86G7+QP,22.3269375,114.2143125,7,Floating,,,,得寶花園,,
Telford Plaza,"33 Wai Yip St, Kowloon Bay",7PJP86F7+8C,22.323312499999986,114.21356249999997,7,Floating,,,v,德福廣場,,
The Lohas,"1 lohas road, Tseung Kwan O",7PJP77W9+3P,22.295187499999997,114.26931250000001,7,Floating,,,v,康城,,
The Southside,"11 Heung Yip Rd, Wong Chuk Hang",7PJP65W9+X2,22.247437500000004,114.16756249999997,7,Floating,,,v,The Southside,,
The Sun Arcade,"Kowloon Park Drive, Tsim Sha Tsui",7PJP75W9+JR,22.296562499999993,114.16956249999998,7,Floating,,,,新太陽廣場,,
The Wai,"18 Che Kung Miu Road, Tai Wai",7PJP95FH+2W,22.372562499999987,114.17981249999997,7,Floating,,,v,圍方,,
Three Pacific Place,"1 Queen's Road East, Hong Kong",7PJP75G9+Q6,22.276937500000003,114.16806249999996,7,Floating,,,v,太古廣場三座,,
Thriving Industrial Centre,"26-38 Sha Tsui Road, Tsuen Wan",7PJP94F5+G9,22.373812499999985,114.10843750000004,7,Floating,,,,匯力工業中心,,
Times Square,"1 Matheson St, Causeway Bay",7PJP75HJ+7R,22.2781875,114.18206249999997,7,Floating,,,v,時代廣場,,
Tonic Industrial Centre,"19 Lam Hing Street, Kowloon Bay",7PJP86F6+W4,22.324812499999993,114.21031249999999,7,Floating,,,,同力工業中心,,
Tsuen Kam Centre,"328-338 Castle Peak Road, Tsuen Wan",7PJP94F8+MF,22.37420857652086,114.11616170448862,7,Floating,,,,荃錦中心,,
